IN -Invasive ,,,,,,,,,
Date,Transect,Family,Common Name,Species,Only Buds,Early,Peak,Late,Only Fruits
Spring 2021,Forest/Grassland,Lamiaceae,White horehound,Marrubium vulgare ,1,0,0,0,0
Spring 2021,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,0,1,1,0,0
Spring 2021,Forest/Grassland,Geraniaceae,Red stem storksbill,Erodium cicutarium,1,1,1,1,1
Spring 2021,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,1,1,1,1,1
Fall 2021,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,0,0,0,1,1
Spring 2021,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,0,0,1,0,0
Spring 2021,Riparian/Wetland,Fabaceae,Bird's-foot trefoil,Lotus corniculatus,1,1,1,0,0
Spring 2021,Riparian/Wetland,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,1,1,1,0
Spring 2021,Riparian/Wetland,Poaceae,Cheatgrass,Bromus tectorum,0,0,1,0,0
Spring 2021,Riparian/Wetland,Scrophulariaceae,Common mullein,Verbascum thapsus ,0,0,0,1,0
Fall 2021,Riparian/Wetland,Asteraceae,Common mugworth,Artemisia vulgaris,0,0,0,1,0
Fall 2021,Riparian/Wetland,Asteraceae,white horehound,Marrubium vulgare,0,0,0,1,0
Fall 2021,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,0,0,0,1,0
Fall 2021,Riparian/Wetland,Vitaceae,Virginia creeper,Parthenocissus quinquefolia,0,0,0,0,1
Fall 2021,Riparian/Wetland,Asteraceae,Indian blanket flower,Gaillardia pulchella,0,0,1,0,0
Spring 2021,SageBrush,Poaceae,Cheatgrass,Bromus tectorum ,1,1,1,0,0
Spring 2022,Forest/Grassland,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,0,0,1,1,1
Spring 2022,Forest/Grassland,Fabaceae,Astragalus sp.,Astragalus sp.,0,1,0,0,0
Spring 2022,Forest/Grassland,Brassicaceae,Flixweed,Descurainia sophia,0,1,1,1,1
Spring 2022,Forest/Grassland,Brassicaceae,Western tansymustard,Descurainia pinnata,0,1,1,1,1
Spring 2022,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,0,0,0,1,1
Spring 2022,Forest/Grassland,Geraniaceae,Red stem storksbill,Erodium cicutarium,1,1,1,1,1
Spring 2022,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,1,1,1,1,1
Fall 2022,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,0,0,1,1,0
Spring 2022,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,0,0,1,0,0
Spring 2022,Riparian/Wetland,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,1,1,1,1
Spring 2022,Riparian/Wetland,Asteraceae,Common dandelion,Taraxacum officinale,0,0,1,0,1
Spring 2022,Riparian/Wetland,Brassicaceae,Western tansymustard,Descurainia pinnata,0,1,1,1,0
Spring 2022,Riparian/Wetland,Poaceae,Cheatgrass,Bromus tectorum,0,1,1,1,0
Fall 2022,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,0,0,0,1,0
Fall 2022,Riparian/Wetland,Lamiaceae,White horehound,Marrubium vulgare,0,0,0,1,0
Fall 2022,Riparian/Wetland,Polygonaceae,Curly dock,Rumex crispus,0,0,0,1,0
Fall 2022,Riparian/Wetland,Vitaceae,Virginia creeper,Parthenocissus quinquefolia,0,0,0,1,0
Spring 2022,SageBrush,Brassicaceae,Crossflower,Chorispora tenella,0,1,1,1,0
Spring 2022,SageBrush,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,1,1,1,1
Spring 2022,SageBrush,Brassicaceae,Desert madwort,Alyssum desertorum,0,0,0,0,1
Spring 2022,SageBrush,Plantaginaceae,Penstemon,Penstemon sp.,1,0,0,0,0
Spring 2022,SageBrush,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,0,1,1,1,0
Spring 2022,SageBrush,Poaceae,Cheatgrass,Bromus tectorum ,1,1,1,1,1
Spring 2023,Forest/Grassland,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,0,0,1,1,0
Spring 2023,Forest/Grassland,Brassicaceae,Flixweed,Descurainia sophia,0,1,1,1,1
Spring 2023,Forest/Grassland,Brassicaceae,Western tansymustard,Descurainia pinnata,0,0,1,1,1
Spring 2023,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,0,1,1,1,0
Spring 2023,Forest/Grassland,Ranunculaceae,Curveseed butterwort,Ceratocephala testiculata,0,0,0,1,1
Spring 2023,Forest/Grassland,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,0,1,1,1
Spring 2023,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,0,0,1,1,1
Fall 2023,Forest/Grassland,Amaranthaceae,Prostrate pigweed,Amaranthus albus,0,0,0,1,1
Fall 2023,Forest/Grassland,Amaranthaceae,Tumbleweed,Salsola tragus,0,1,1,1,0
Fall 2023,Forest/Grassland,Asteraceae,Prickly lettuce,Lactuca serriola,0,0,0,1,1
Spring 2023,Riparian/Wetland,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,0,0,1,0
Spring 2023,Riparian/Wetland,Brassicaceae,Western tansymustard,Descurainia pinnata,0,1,1,0,0
Spring 2023,Riparian/Wetland,Poaceae,Cheatgrass,Bromus tectorum,0,0,1,1,1
Fall 2023,Riparian/Wetland,Fabaceae,White sweetclover,Melilotus albus,0,0,0,1,0
Fall 2023,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,0,0,0,1,0
Fall 2023,Riparian/Wetland,Asteraceae,Prickly lettuce,Lactuca serriola,0,0,0,1,0
Spring 2023,SageBrush,Brassicaceae,Desert madwort,Alyssum desertorum,0,0,1,1,0
Spring 2023,SageBrush,Asteraceae,Littleleaf horsebrush,Tetradymia glabrata,1,0,0,0,0
Spring 2023,SageBrush,Poaceae,Cheatgrass,Bromus tectorum ,0,0,0,1,1
Spring 2023,SageBrush,Geraniaceae,Red stem storksbill,Erodium cicutarium,0,0,0,1,1
Spring 2023,SageBrush,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,0,0,0,1,0
Spring 2023,SageBrush,Brassicaceae,Western tansymustard,Descurainia pinnata,0,1,0,0,0